URL,Precio,Tamaño de la propiedad,Parqueos,Dormitorios,Baños,ID de la propiedad,Tamaño del lote del Inmueble
https://mapainmueble.com/properties/apartamento-en-venta-en-edificio-mariscal-uno-uno-zona-11-ciudad-de-guatemala-dva24953/,": $ 137,500 (GTQ 1,100,000.00)",: 75 m2,: 2,: 3,: 2,: DVA24953,
https://mapainmueble.com/properties/amplio-apartamento-en-venta-zen-cayala-cva7490/,": $ 550,000",: 254 m2,: 2,: 3,: 3,: CVA7490,: 10 m2
https://mapainmueble.com/properties/penthouse-en-venta-zen-cayala-zona-16-d-dva24775/,": $ 1,000,000",: 400 m2,: 3,: 3,: 3.5,: DVA24775,
https://mapainmueble.com/properties/apartamento-en-venta-zona-16-con-jardin-dva24766/,": $ 210,000 + Impuestos",: 179 m2,: 2,: 3,: 2,: DVA24766,
https://mapainmueble.com/properties/venta-moderno-apartamento-zona-10-dva24758/,": $ 153,850 NEGOCIABLE",,: 1,: 1,: 1,: DVA24758,
https://mapainmueble.com/properties/apartamento-en-venta-zona-14-dva24745/,": $ 375,000 + Impuestos",: 175 m2,: 2,: 3,: 2.5,: DVA24745,
https://mapainmueble.com/properties/apartamento-en-venta-caes-edificio-destiny-dva24525/,": $ 118,750 Dólares",: 72 m2,: 2,: 2,: 2,: DVA24525,: 10 m2
https://mapainmueble.com/properties/moderno-apto-para-estrenar-de-3-habitaciones-y-jardin-en-vista-hermosa-ii-zona-15-dva24489/,": $ 441,000 Incl. Impuestos y Gastos",: 225 m2,: 2,: 3,: 2,: DVA24489,
https://mapainmueble.com/properties/penthouse-en-venta-zona-14-con-terraza-dva24052/,": $ 367,000 +Impuestos",: 232 m2,: 3,: 3,: 2.5,: DVA24052,
https://mapainmueble.com/properties/bonadiez-apartamento-de-2-habitaciones-en-venta-dva23948/,": $ 198,000 $",: 74 m2,: 2,: 2,: 2,: DVA23948,
https://mapainmueble.com/properties/apartamento-3hab-zona-14-real-de-los-fiallos-dva23401/,": $ 133,000 Mas timbres",: 75 m2,: 1,: 3,: 2,: DVA23401,: 75 m2
https://mapainmueble.com/properties/vendo-apartamento-1-hab-parque-15-de-56mt2-cva6726/,": $ 156,000 Nego",: 56 m2,: 2,: 1,: 1.5,: CVA6726,: 10 m2
https://mapainmueble.com/properties/apartamento-en-venta-narama-zona-13-d-dva22784/,": $ 100,000 + impuestos de ley",: 40 m2,: 1,: 1,: 1,: DVA22784,: 10 m2
https://mapainmueble.com/properties/torre-360-apartamento-amueblado-y-equipado-zona-15-vista-hermosa-1-CVA6435/,": $ 183,000 LINDAS VISTAS",: 70 m2,: 1,: 1,: 1.5,: CVA6435,
https://mapainmueble.com/properties/apartamento-en-venta-narama-zona-13-d-dva21153/,": $ 155,000 + impuestos de ley",: 55 m2,: 2,: 2,: 1,: DVA21153,: 10 m2
https://mapainmueble.com/properties/apartamento-en-venta-en-zona-14-DVA20588/,": $ 220,000",: 133 m2,: 1,: 2,: 2,: DVA20588,
https://mapainmueble.com/properties/apartamento-en-venta-amueblado-granat-zona-4-d-dva19381/,": $ 205,000 + impuestos de ley",: 120 m2,: 2,: 2,: 2,: DVA19381,: 10 m2
https://mapainmueble.com/properties/apartamento-en-venta-premiere-plaza-dva19077/,": $ 1,000,000 Más impuestos",: 550 m2,: 5,: 3,: 4,: DVA19077,
https://mapainmueble.com/properties/hermoso-apartamento-en-renta-en-zona-14-dva15307/,": $ 225,000 mas timbres",: 116 m2,: 2,: 2,: 2,: DVA15307,
https://mapainmueble.com/properties/vendo-exclusivo-apartamento-en-zona-10-colonia-oakland-dva24969/,": $ 288,000",: 102 m2,: 2,: 2,: 2.5,: DVA24969,: 10 m2
https://mapainmueble.com/properties/apartamentos-en-venta-zona-5-santa-ana-dva24966/,": $ 220,000",: 65 m2,: 1,: 2,: 2,: DVA24966,
https://mapainmueble.com/properties/apartamento-en-zona-1-de-mixco-dva24965/,": $ 55,650",: 53 m2,: 1,: 3,: 1,: DVA24965,
https://mapainmueble.com/properties/apartamento-en-zona-5-dva24964/,": $ 101,325",: 40 m2,: 1,: 1,: 1,: DVA24964,
https://mapainmueble.com/properties/bellisimo-penthouse-en-venta-zona-14-dva24859/,": $ 1,700,000",: 590 m2,: 4,: 3,: 5.5,: DVA24859,
