Precio,Tamaño de la propiedad,Parqueos,Dormitorios,Baños
"550,000",254.0,2.0,3.0,3.0
"220,000",133.0,1.0,2.0,2.0
"288,000",102.0,2.0,2.0,2.5
"220,000",65.0,1.0,2.0,2.0
"55,650",53.0,1.0,3.0,1.0
"101,325",40.0,1.0,1.0,1.0
"215,000",132.0,2.0,2.0,2.5
"395,000",147.0,3.0,3.0,2.5
"260,000",136.0,2.0,3.0,2.5
"215,000",110.0,2.0,2.0,2.0
"350,000",199.0,2.0,3.0,2.5
"325,000",240.0,0.0,3.0,2.5
"164,038",70.0,2.0,2.0,2.0
"114,000",55.0,1.0,2.0,2.0
"185,000",75.0,1.0,1.0,1.0
"285,000",132.0,2.0,3.0,2.5
"240,000",95.0,2.0,3.0,2.0
"181,661",76.0,1.0,1.0,1.0
"240,000",132.0,2.0,3.0,2.0
"220,000",81.0,2.0,2.0,2.0
"235,000",120.0,2.0,2.0,2.5
"295,000",115.0,2.0,3.0,2.0
"250,000",93.0,2.0,2.0,2.5
"270,000",123.0,2.0,3.0,3.5
"113,924",77.0,1.0,2.0,2.0
"385,000",270.0,2.0,2.0,3.0
"113,924",77.0,1.0,2.0,2.0
"385,000",270.0,2.0,2.0,3.0
"220,000",73.0,2.0,2.0,2.0
"265,000",140.0,2.0,3.0,3.5
"84,105",45.0,1.0,2.0,1.0
"280,000",124.0,2.0,2.0,2.5
"205,000",73.0,2.0,2.0,2.0
"238,850",165.0,2.0,3.0,2.5
"140,000",88.0,1.0,2.0,2.0
"205,000",73.0,2.0,2.0,2.0
"238,850",165.0,2.0,3.0,2.5
"140,000",88.0,1.0,2.0,2.0
"350,000",167.0,2.0,3.0,3.5
"580,701",232.0,0.0,3.0,4.0
"785,000",279.0,3.0,3.0,3.0
"170,000",84.0,2.0,3.0,2.0
"285,000",101.0,2.0,2.0,2.5
"292,000",117.0,2.0,2.0,2.0
"295,000",111.0,2.0,1.0,1.5
"700,000",325.0,2.0,3.0,3.5
"275,000",140.0,2.0,2.0,2.0
"250,000",110.0,2.0,3.0,2.0
"300,000",194.0,2.0,2.0,2.5
"124,700",70.0,2.0,3.0,2.0
"114,200",68.0,2.0,2.0,2.0
"280,800",130.0,2.0,3.0,3.0
"174,000",107.0,2.0,2.0,2.0
"217,000",88.0,2.0,2.0,2.0
"190,000",72.0,2.0,2.0,2.0
"190,000",71.0,1.0,1.0,1.0
"100,641",31.0,1.0,1.0,1.0
"148,076",36.0,1.0,1.0,1.0
"327,000",157.0,2.0,2.0,2.0
"192,307",75.0,1.0,1.0,1.0
"145,570",58.0,1.0,2.0,2.0
"385,000",136.0,2.0,3.0,4.0
"250,000",93.0,2.0,2.0,2.5
"241,000",116.0,2.0,2.0,2.0
"690,000",252.0,3.0,3.0,3.5
"525,000",160.0,2.0,2.0,2.5
"580,000",250.0,2.0,3.0,3.0
"164,557",66.0,2.0,3.0,2.0
"125,000",87.0,2.0,3.0,3.0
"102,435",60.0,1.0,2.0,1.0
"157,880",76.0,2.0,2.0,2.0
"187,911",84.0,2.0,3.0,2.0
"126,923",65.0,2.0,2.0,2.0
"121,794",68.0,1.0,2.0,2.0
"169,000",75.0,2.0,2.0,2.0
"385,000",175.0,2.0,2.0,2.5
"230,000",87.0,2.0,3.0,2.0
"220,000",73.0,2.0,2.0,2.0
850,52.0,1.0,1.0,1.0
"210,000",75.0,2.0,2.0,2.0
"108,333",60.0,1.0,1.0,1.0
"71,794",58.0,1.0,2.0,1.0
"340,000",105.0,2.0,2.0,2.0
"107,692",38.0,1.0,1.0,1.0
"310,000",146.0,2.0,3.0,2.5
"155,000",54.0,1.0,1.0,1.0
"695,000",233.0,3.0,3.0,2.5
"178,000",82.0,2.0,3.0,2.0
"119,205",55.0,1.0,2.0,2.0
"785,000",372.0,3.0,3.0,3.0
"785,000",372.0,3.0,3.0,3.0
"650,000",500.0,3.0,3.0,3.0
"141,025",92.0,2.0,3.0,2.0
"96,153",94.0,2.0,3.0,2.0
"86,538",90.0,2.0,3.0,1.0
"240,000",81.0,2.0,2.0,3.0
"125,000",41.0,1.0,0.0,1.0
"215,600",136.0,2.0,3.0,2.5
"550,000",174.0,2.0,2.0,3.0
"630,000",200.0,2.0,3.0,3.5
"192,000",84.0,2.0,3.0,2.0
"450,000",184.0,3.0,3.0,3.5
"210,000",71.0,1.0,1.0,1.5
"1,500",198.0,2.0,3.0,2.0
"495,000",358.0,3.0,3.0,3.5
"280,000",126.0,2.0,3.0,3.5
"120,000",69.0,2.0,3.0,2.0
"260,000",170.0,2.0,3.0,3.0
"140,000",60.0,2.0,1.0,1.0
"163,000",64.0,2.0,3.0,2.0
"230,000",97.0,2.0,2.0,3.0
"156,000",69.0,2.0,2.0,2.0
"185,000",89.0,2.0,2.0,2.0
"405,000",181.0,2.0,2.0,2.5
"142,000",56.0,1.0,1.0,1.0
"360,000",213.0,3.0,3.0,2.0
"300,000",85.0,2.0,2.0,2.5
"300,000",85.0,2.0,2.0,2.5
"225,000",88.0,2.0,2.0,2.0
"230,000",91.0,2.0,3.0,2.0
"250,000",92.0,2.0,2.0,2.5
"128,000",32.0,1.0,1.0,1.0
"128,500",46.0,1.0,1.0,1.0
"160,000",64.0,1.0,2.0,2.0
"124,375",137.0,2.0,3.0,2.0
"220,000",96.0,2.0,2.0,2.5
"130,000",40.0,1.0,1.0,1.0
"104,000",61.0,2.0,1.0,1.0
"170,000",76.0,2.0,1.0,1.0
"172,000",85.0,2.0,2.0,2.0
"600,000",23.0,1.0,1.0,1.0
"265,000",110.0,2.0,3.0,2.0
"270,000",132.0,2.0,4.0,3.0
"325,000",140.0,2.0,3.0,3.0
"145,570",60.0,1.0,2.0,1.0
"143,000",67.0,1.0,1.0,1.0
"160,000",90.0,0.0,3.0,2.0
"315,000",200.0,3.0,3.0,2.5
"187,775",85.0,1.0,2.0,2.0
"250,000",109.0,2.0,3.0,2.0
"121,250",80.0,2.0,3.0,2.0
"189,000",90.0,2.0,2.0,3.0
"165,000",64.0,2.0,2.0,2.0
"190,000",120.0,2.0,3.0,2.0
"242,000",95.0,2.0,3.0,2.5
"99,000",40.0,0.0,1.0,1.0
"495,000",192.0,6.0,5.0,4.0
"220,000",96.0,2.0,2.0,2.5
"230,000",96.0,2.0,2.0,2.5
"225,000",93.0,2.0,1.0,1.5
"121,250",81.0,2.0,3.0,1.0
"385,000",108.0,2.0,3.0,3.0
"350,000",194.0,2.0,2.0,2.5
"244,000",119.0,2.0,3.0,2.5
"71,370",43.0,0.0,1.0,1.0
"290,000",126.0,2.0,2.0,2.0
"375,000",165.0,2.0,2.0,2.5
"152,000",49.0,1.0,1.0,1.5
"89,405",66.0,0.0,1.0,1.0
"395,000",185.0,2.0,3.0,3.5
"155,000",43.0,1.0,2.0,1.0
"168,000",68.0,2.0,2.0,2.0
"281,000",117.0,2.0,3.0,2.0
"220,000",96.0,2.0,2.0,2.5
"135,000",75.0,1.0,1.0,1.0
"242,000",201.0,4.0,4.0,4.5
"205,000",73.0,2.0,2.0,2.0
"220,000",73.0,2.0,2.0,2.0
"140,000",88.0,1.0,2.0,2.0
"360,000",130.0,2.0,2.0,2.0
"106,250",54.0,1.0,2.0,1.0
"225,000",83.0,2.0,2.0,2.0
"195,000",102.0,2.0,2.0,2.0
"189,000",100.0,2.0,2.0,2.0
"93,000",68.0,0.0,2.0,2.0
"315,000",159.0,2.0,3.0,2.0
"315,000",159.0,2.0,3.0,2.0
"94,000",45.0,1.0,2.0,1.0
"166,500",139.0,2.0,3.0,2.0
"78,000",69.0,1.0,3.0,1.0
"83,500",50.0,1.0,1.0,1.0
"214,500",110.0,0.0,2.0,2.0
"350,000",199.0,2.0,3.0,2.5
"160,260",44.0,1.0,1.0,1.0
"532,052",185.0,6.0,6.0,5.0
"290,000",82.0,2.0,2.0,2.0
"220,000",142.0,2.0,3.0,2.5
"775,000",405.0,0.0,3.0,4.5
"205,000",118.0,3.0,3.0,2.5
"145,500",65.0,2.0,2.0,1.0
"410,000",180.0,2.0,2.0,2.5
"450,000",250.0,3.0,3.0,4.0
"265,000",140.0,2.0,3.0,2.0
"135,000",89.0,1.0,1.0,1.5
"210,000",85.0,2.0,3.0,2.0
"255,000",135.0,2.0,3.0,2.5
"449,677",177.0,2.0,3.0,3.0
"290,000",101.0,2.0,2.0,2.0
"285,000",101.0,2.0,2.0,2.5
"185,000",72.0,2.0,2.0,1.0
"140,000",89.0,2.0,1.0,2.0
"205,000",73.0,2.0,2.0,2.0
"122,440",65.0,1.0,2.0,1.0
"198,000",88.0,1.0,2.0,1.5
"290,000",126.0,2.0,2.0,2.5
"550,000",208.0,3.0,3.0,3.5
"252,120",94.0,3.0,2.0,2.0
"113,000",35.0,1.0,1.0,1.0
"125,000",45.0,1.0,1.0,1.0
"269,000",78.0,2.0,2.0,2.0
"469,995",266.0,2.0,2.0,2.5
"521,883",130.0,3.0,3.0,2.5
"260,000",113.0,2.0,2.0,2.0
"130,000",40.0,1.0,1.0,1.0
"225,000",98.0,2.0,2.0,2.0
"205,000",73.0,2.0,2.0,2.0
"350,000",195.0,2.0,3.0,3.0
"89,033",53.0,1.0,2.0,1.0
"152,320",58.0,1.0,2.0,2.0
"48,000",23.0,0.0,1.0,1.0
"310,000",145.0,2.0,3.0,2.5
"205,000",118.0,3.0,3.0,2.5
"205,000",118.0,3.0,3.0,2.5
"205,000",84.0,1.0,2.0,2.0
"205,000",73.0,2.0,2.0,2.0
"133,811",74.0,1.0,1.0,1.5
"135,000",89.0,1.0,1.0,1.5
"350,000",159.0,2.0,2.0,1.0
"271,381",108.0,2.0,3.0,2.5
"154,000",76.0,2.0,3.0,1.5
"180,000",100.0,2.0,2.0,2.0
"57,000",48.0,0.0,3.0,1.0
"205,000",111.0,2.0,2.0,2.5
"176,670",109.0,2.0,2.0,2.0
"114,000",55.0,1.0,2.0,2.0
"115,000",123.0,1.0,3.0,1.0
"410,000",181.0,2.0,2.0,2.5
"280,000",146.0,2.0,2.0,2.5
"205,000",110.0,2.0,3.0,2.0
"270,000",101.0,2.0,3.0,2.0
"148,000",135.0,2.0,2.0,2.0
"660,000",293.0,2.0,3.0,3.0
"265,000",132.0,2.0,3.0,2.5
"287,670",91.0,2.0,3.0,2.0
"112,500",57.0,1.0,2.0,2.0
"521,883",269.0,3.0,3.0,2.5
"550,009",244.0,3.0,3.0,3.0
"107,595",36.0,0.0,1.0,1.0
"115,750",39.0,1.0,1.0,1.5
"215,600",107.0,2.0,2.0,2.0
"280,000",146.0,2.0,2.0,2.5
"241,245",127.0,2.0,3.0,2.5
"170,666",64.0,2.0,3.0,2.0
"89,405",55.0,1.0,2.0,1.0
"178,810",77.0,2.0,3.0,2.0
"223,000",70.0,2.0,2.0,2.0
"43,000",21.0,0.0,1.0,1.0
"250,000",93.0,2.0,2.0,2.5
"266,988",86.0,2.0,1.0,1.0
"580,000",179.0,3.0,2.0,2.5
"285,000",105.0,2.0,2.0,2.5
"159,000",50.0,2.0,2.0,2.0
"218,000",96.0,2.0,3.0,2.5
"435,000",168.0,3.0,3.0,3.5
"430,000",236.0,2.0,3.0,3.0
"260,000",93.0,2.0,2.0,2.0
"215,600",106.0,2.0,2.0,2.0
"588,000",185.0,0.0,3.0,3.5
"375,000",135.0,2.0,2.0,2.0
"215,600",106.0,2.0,2.0,2.0
"588,000",185.0,0.0,3.0,3.5
"375,000",135.0,2.0,2.0,2.0
"168,000",65.0,0.0,2.0,1.0
"555,000",204.0,3.0,3.0,2.5
"132,000",49.0,1.0,1.0,1.0
"250,000",155.0,2.0,2.0,2.0
"860,000",323.0,3.0,3.0,3.5
