Precio $,Dormitorios,Tamaño mt2,Habitaciones,Sanitarios
800,1,73,1,1.5
"2,200",2,152,2,2.5
"3,499",3,252,3,3.5
"2,200",3,175,3,3.0
800,1,73,1,1.5
"2,200",2,152,2,2.5
"3,499",3,252,3,3.5
"2,200",3,175,3,3.0
"1,200",2,54,2,2.0
"2,725",2,295,2,2.0
"1,190",2,67,2,2.0
950,2,70,2,2.0
"2,200",2,160,2,2.5
"2,200",2,295,2,2.0
875,1,72,1,1.0
860,1,44,1,1.0
860,1,44,1,1.0
"1,000",3,136,3,2.5
"1,500",2,193,2,2.5
"1,700",3,136,3,3.0
890,1,44,1,1.0
890,1,44,1,1.0
"1,700",3,137,3,2.0
"1,250",3,139,3,2.0
"2,200",2,295,2,2.0
"1,700",3,137,3,2.0
"2,200",2,295,2,2.5
"2,200",2,160,2,2.5
"2,350",3,169,3,3.5
"1,700",3,132,3,2.0
850,1,56,1,1.0
"2,800",4,275,4,4.0
860,1,44,1,1.0
900,1,58,1,1.0
"2,965",2,295,2,2.0
"1,800",2,125,2,2.0
700,1,43,1,1.0
905,1,56,1,1.0
850,1,44,1,1.0
"2,200",2,295,2,2.5
"1,200",2,107,2,2.0
"1,000",1,100,1,2.0
900,1,96,1,1.5
"1,500",3,140,3,2.5
"2,960",2,295,2,3.0
"1,100",3,225,3,2.5
900,2,70,2,2.0
"2,800",2,240,2,2.5
"2,800",2,240,2,2.0
"2,970",2,295,2,2.5
"3,000",3,202,3,2.5
"1,500",2,193,2,3.5
"2,200",2,160,2,2.5
"2,200",2,295,2,2.5
775,1,67,1,1.5
"2,800",2,295,2,2.5
"2,500",2,146,2,2.5
900,2,70,2,1.0
"2,200",2,160,2,2.5
"1,850",2,125,2,2.0
"1,200",3,102,3,2.0
"2,200",2,160,2,2.5
"1,625",3,139,3,3.0
"7,500",4,809,4,5.0
"1,000",2,106,2,2.0
900,2,120,2,2.0
"2,200",2,159,2,2.0
"1,000",2,106,2,2.0
900,2,120,2,2.0
"2,200",2,159,2,2.0
"1,100",2,90,2,2.0
875,1,72,1,1.0
900,2,70,2,1.0
"1,000",1,100,1,2.0
875,1,72,1,1.0
"1,500",2,105,2,2.0
"1,475",3,139,3,2.5
"3,900",3,415,3,3.5
"3,200",3,250,3,3.0
"2,800",2,240,2,2.5
"1,250",3,139,3,2.5
"2,200",2,153,2,2.5
"1,250",3,136,3,2.0
"1,625",3,139,3,2.5
865,1,100,1,1.0
"1,150",2,104,2,2.0
"2,250",3,121,3,2.0
"2,250",3,121,3,2.0
"1,635",3,139,3,2.5
"2,000",4,249,4,3.5
"2,000",4,249,4,3.5
875,1,100,1,1.0
"2,200",3,125,3,2.5
"2,000",3,248,3,3.0
"1,500",1,96,1,1.5
