Precio $,Dormitorios,Nombre,Tamaño mt2,Habitaciones,Sanitarios,Parqueos,Zona,Agente,Tipo de Propiedad,URL
$ 800,1,Zona 14,73,1,1.5,Info no disponible,"Zona 14, Guatemala",Inmobiliaria Casa Yune,Tipo no especificado,https://mapainmueble.com/area/zona-14/
$ 875 VER DETALLES,1,Zona 14,72,1,1,Info no disponible,"Zona 14, Guatemala",Karla Sánchez,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 2,200",2,Zona 14,152,2,2.5,Info no disponible,"Zona 14, Guatemala",Market Properties,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 2,200 + IVA",2,Zona 14,150,2,2.5,Info no disponible,"Zona 14, Guatemala",Market Properties,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 3,499",3,Zona 14,252,3,3.5,Info no disponible,"Zona 14, Guatemala",Market Properties,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 1,700 0",2,Zona 14,75,2,2,Info no disponible,"Zona 14, Guatemala",Paola Sieckavizza,Tipo no especificado,https://mapainmueble.com/area/zona-14/
$ 790,1,Zona 14,Info no disponible,1,1,Info no disponible,"Zona 14, Guatemala",Ana Cerezo,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 2,065 Iva y mto incluidos",2,Zona 14,205,2,2.5,Info no disponible,"Zona 14, Guatemala",PropiedadesGUA – Lucia Pivaral,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 2,200",3,Zona 14,175,3,3,Info no disponible,"Zona 14, Guatemala",Verónica Leal,Tipo no especificado,https://mapainmueble.com/area/zona-14/
$ 800,1,Zona 14,73,1,1.5,Info no disponible,"Zona 14, Guatemala",Inmobiliaria Casa Yune,Tipo no especificado,https://mapainmueble.com/area/zona-14/
$ 875 VER DETALLES,1,Zona 14,72,1,1,Info no disponible,"Zona 14, Guatemala",Karla Sánchez,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 2,200",2,Zona 14,152,2,2.5,Info no disponible,"Zona 14, Guatemala",Market Properties,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 2,200 + IVA",2,Zona 14,150,2,2.5,Info no disponible,"Zona 14, Guatemala",Market Properties,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 3,499",3,Zona 14,252,3,3.5,Info no disponible,"Zona 14, Guatemala",Market Properties,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 1,700 0",2,Zona 14,75,2,2,Info no disponible,"Zona 14, Guatemala",Paola Sieckavizza,Tipo no especificado,https://mapainmueble.com/area/zona-14/
$ 790,1,Zona 14,Info no disponible,1,1,Info no disponible,"Zona 14, Guatemala",Ana Cerezo,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 2,065 Iva y mto incluidos",2,Zona 14,205,2,2.5,Info no disponible,"Zona 14, Guatemala",PropiedadesGUA – Lucia Pivaral,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 2,200",3,Zona 14,175,3,3,Info no disponible,"Zona 14, Guatemala",Verónica Leal,Tipo no especificado,https://mapainmueble.com/area/zona-14/
$ 875 Para estrenar!,1,Zona 14,44,1,1.5,Info no disponible,"Zona 14, Guatemala",House & Home – Bienes Raíces,Tipo no especificado,https://mapainmueble.com/area/zona-14/
$ 950 Primer nivel,2,Zona 14,92,2,2,Info no disponible,"Zona 14, Guatemala",Melissa Jiménez,Tipo no especificado,https://mapainmueble.com/area/zona-14/
$ 770 Con Jardin,1,Zona 14,55,1,1.5,Info no disponible,"Zona 14, Guatemala",Melissa Jiménez,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 1,200",2,Zona 14,54,2,2,Info no disponible,"Zona 14, Guatemala",Realty Astarac,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 2,725",2,Zona 14,295,2,2,Info no disponible,"Zona 14, Guatemala",ACODI Inmobiliaria,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 1,650 Mantenimiento incluido",3,Zona 14,139,3,2.5,Info no disponible,"Zona 14, Guatemala",Jeniffer Zaldaña,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 1,190",2,Zona 14,67,2,2,Info no disponible,"Zona 14, Guatemala",Realty Guatemala,Tipo no especificado,https://mapainmueble.com/area/zona-14/
$ 750,1,Zona 14,Info no disponible,1,2,Info no disponible,"Zona 14, Guatemala",LUPA INMOBILIARIA Mary Gonzalez,Tipo no especificado,https://mapainmueble.com/area/zona-14/
$ 750,2,Zona 14,Info no disponible,2,2,Info no disponible,"Zona 14, Guatemala",LUPA INMOBILIARIA Mary Gonzalez,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 1,200",2,Zona 14,Info no disponible,2,2,Info no disponible,"Zona 14, Guatemala",INMO AQUI AQUI,Tipo no especificado,https://mapainmueble.com/area/zona-14/
$ 900 Excelente precio,2,Zona 14,95,2,2,Info no disponible,"Zona 14, Guatemala",Lourdes Morales,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 1,500 Negociable",3,Zona 14,163,3,3.5,Info no disponible,"Zona 14, Guatemala",Campollo y Asociados,Tipo no especificado,https://mapainmueble.com/area/zona-14/
$ 950,2,Zona 14,70,2,2,Info no disponible,"Zona 14, Guatemala",LUPA INMOBILIARIA Mary Gonzalez,Tipo no especificado,https://mapainmueble.com/area/zona-14/
$ 900,1,Zona 14,Info no disponible,1,1.5,Info no disponible,"Zona 14, Guatemala",INMOBILIARIA PROYMERCA,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 2,200",2,Zona 14,160,2,2.5,Info no disponible,"Zona 14, Guatemala",Inversión Ideal,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 2,200",2,Zona 14,295,2,2,Info no disponible,"Zona 14, Guatemala",Inversión Ideal,Tipo no especificado,https://mapainmueble.com/area/zona-14/
$ 875,1,Zona 14,72,1,1,Info no disponible,"Zona 14, Guatemala",Patricia de Brol,Tipo no especificado,https://mapainmueble.com/area/zona-14/
$ 900 +IVA,1,Zona 14,44,1,1,Info no disponible,"Zona 14, Guatemala",Alejandra Figueroa,Tipo no especificado,https://mapainmueble.com/area/zona-14/
$ 900 +IVA,1,Zona 14,44,1,1,Info no disponible,"Zona 14, Guatemala",Alejandra Figueroa,Tipo no especificado,https://mapainmueble.com/area/zona-14/
$ 860,1,Zona 14,44,1,1,Info no disponible,"Zona 14, Guatemala",Ambiente Inmobiliario,Tipo no especificado,https://mapainmueble.com/area/zona-14/
$ 860,1,Zona 14,44,1,1,Info no disponible,"Zona 14, Guatemala",Ambiente Inmobiliario,Tipo no especificado,https://mapainmueble.com/area/zona-14/
$ 860 USD$,1,Zona 14,44,1,1,Info no disponible,"Zona 14, Guatemala",Carol Paredes,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 1,000",3,Zona 14,136,3,2.5,Info no disponible,"Zona 14, Guatemala",Claudia Escobar,Tipo no especificado,https://mapainmueble.com/area/zona-14/
